player_id,name,registration_date,country
23b8c1e9-3924-46de-beb1-3b9046685257,Derek Anderson,2023-07-27,France
e465e150-bd9c-46b3-ad3c-2d6d1a3d1fa7,Michael Martinez,2023-02-28,Niue
0822e8f3-6c03-4199-972a-846916419f82,Cynthia Moore,2022-01-24,Mexico
815ef6d1-3b8f-4a18-b7f8-a88b17fc695a,Jason Walker,2023-04-13,Tajikistan
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Julia Wilson,2023-05-20,Syrian Arab Republic
386ecbe0-6b65-46a4-8b81-48f6b38a088c,Timothy Carter,2022-12-15,Romania
de8a774b-cf36-458b-8737-819096da1dac,Ruben Baird,2022-01-06,Ecuador
b2b9437a-28df-4ec4-8e4a-2bbdc241330b,Charles Lee,2022-11-25,Nepal
371ecd7b-27cd-4130-8722-9389571aa876,Sherry Shields,2023-08-17,Falkland Islands (Malvinas)
6142ea7d-17be-4111-9a2a-73ed562b0f79,Sarah Morgan,2022-03-17,Solomon Islands
9a8dca03-580d-4b71-98f5-64135be6128e,Samantha Campbell,2022-07-25,French Southern Territories
759cde66-bacf-43d0-8b1f-9163ce9ff57f,Lauren Keller,2023-02-21,Tonga
60e7a113-ec1b-4ca1-b91e-1d4c1ff49b78,Joshua Reed,2022-03-03,Mexico
a0ee89ae-d453-4d32-8b0d-bb418d5288f1,Jamie Cantu,2023-04-26,Trinidad and Tobago
93cd59bf-5c94-4cf0-9c98-d2c1e2acf72f,Michael Armstrong,2022-05-30,Djibouti
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Jennifer Flores,2022-06-27,Lebanon
146d3f31-fc37-4a4c-8a15-544dc5e7ce8a,Roberta Hughes,2023-10-27,Panama
614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,Marissa Hernandez,2022-08-04,Argentina
5d65a441-d588-42de-a2bc-372f7412b293,Vincent Rivera,2022-05-07,Bolivia
ab9099a4-35a2-40ae-9af3-05535ec42e08,Jessica Fox,2022-07-27,Korea
a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,Charles Pitts,2022-02-25,Cape Verde
88bd6407-2bcf-4e01-a28d-efe39bf00273,Richard Baker,2023-07-21,Niger
6123fdf7-7656-4f72-a9d4-beef3eabedcb,Marie Christian,2022-07-29,Timor-Leste
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Kimberly Finley,2023-03-09,Nigeria
d7c524a5-5304-417f-af42-e12f3838b326,Olivia Brennan,2023-08-20,Argentina
d261a7ab-3aa2-44f9-8e51-f30dc6a7ee39,Cynthia Cohen,2022-01-25,France
448aaa9e-66b2-4c5b-90c1-87fcce177b4e,Nicole Hamilton MD,2022-02-21,Norfolk Island
9132b63e-f162-47e4-a9c3-49e03602f8ac,Ashlee Jackson,2023-11-12,French Southern Territories
a7cad415-366e-416f-908e-bad7b7c93acf,Amber Flynn,2023-01-23,French Polynesia
a491f0b2-ea1f-4a65-a27a-984d654821d0,Jeffrey Sanchez,2022-12-23,Isle of Man
3f22faf8-23be-401d-83cf-2fde24933b83,Rebecca Jackson,2023-08-02,Belgium
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Janet Vega,2023-03-31,Luxembourg
663f1c97-9562-49f0-a5d7-b8756dadd6c7,Briana Murray,2022-10-09,Equatorial Guinea
2369b584-ff5e-4ff0-bf50-bde4382567b8,Michael Nolan,2023-01-31,Lao People's Democratic Republic
0c0fd195-c17a-408a-9745-d6d87e570ddf,Megan Moore,2023-10-31,Kenya
28f49481-a0a0-4dc4-a720-9bdf1c11f735,Victoria Evans,2023-09-08,Jamaica
